,Make,Model,Year,Drive,Trans,Accel (0-60) (s),Quarter Mile Time (s),Quarter Mile Speed (mph)
561,Toyota,MR2,1995,RWD,5M,6.2,14.8,93.5
562,Toyota,Prius,2016,FWD,CVT,9.4,17.2,81
563,Toyota,RAV4,2006,AWD,5A,6.3,14.9,94
564,Toyota,Sequoia,2008,4x4,6A,6.2,14.7,93.7
565,Toyota,Sienna,2017,FWD,8A,6.9,15.2,93
566,Toyota,Supra,1993,RWD,6M,4.6,13.1,109
567,Toyota,Tacoma,2002,RWD,5M,6.07,14.96,93.96
568,Toyota,Tundra,2017,4x4,6A,6.4,15.1,92
569,Toyota,Venza,2009,FWD,6A,6.5,14.9,94
570,Toyota,Yaris,2012,FWD,5M,8.7,16.8,81.3
571,Ultima,GTR,2000,RWD,5M,3.3,11.9,117
572,Vector,W8 Twin Turbo,1991,RWD,3A,3.8,12,118
573,Volkswagen,Atlas,2018,AWD,8A,7.9,16,81.6
574,Volkswagen,Beetle,2014,FWD,6M,6,14.8,96
575,Volkswagen,CC,2009,AWD,6A,6.1,14.6,98
576,Volkswagen,Eos,2007,FWD,6A,6.5,15.1,94
577,Volkswagen,Golf,2017,FWD,5M,6.6,15.3,93
578,Volkswagen,GTI,2015,FWD,6M,5.6,14.2,100
579,Volkswagen,Jetta,2013,FWD,6M,6.4,15.1,95
580,Volkswagen,Passat,2012,FWD,6A,5.7,14.2,100.9
581,Volkswagen,Tiguan,2010,FWD,6A,7.1,15.5,91
582,Volvo,S60,2015,AWD,6A,4.5,13.1,107
583,Volvo,S80,2007,AWD,6A,5.7,14.4,98
584,Volvo,S90,2018,AWD,8A,4.5,13.3,103
585,Volvo,V60,2017,AWD,8A,4.4,13,108
586,Volvo,V90,2017,AWD,8A,5.9,14.4,99
587,Volvo,XC60,2018,AWD,8A,5.4,14,97.1
588,Volvo,XC70,2009,AWD,6A,6.6,15.1,96
589,Volvo,XC90,2017,AWD,8A,5,13.9,97.1
